,city_id,block_id,opportunity_cost
154,360,8b30a4a9e718fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
155,360,8b30a4a9e71bfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
156,360,8b30a4a9e719fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
157,360,8b30a40686c1fff,"{'9': 0.9836260825395584, '10': 1.2391484528779984, '11': 0.0}"
158,360,8b30a40686c6fff,"{'9': 0.9836260825395584, '10': 1.2391484528779984, '11': 0.0}"
159,360,8b30a40686c0fff,"{'9': 0.9836260825395584, '10': 1.2391484528779984, '11': 0.0}"
160,360,8b30a40686c3fff,"{'9': 0.9836260825395584, '10': 1.2391484528779984, '11': 0.0}"
161,360,8b30a40686c2fff,"{'9': 0.9836260825395584, '10': 1.2391484528779984, '11': 0.0}"
162,360,8b30a40686c5fff,"{'9': 0.9836260825395584, '10': 1.2391484528779984, '11': 1.110211329880264}"
163,360,8b30a40686c4fff,"{'9': 0.9836260825395584, '10': 1.2391484528779984, '11': 0.0}"
164,360,8b30a4068845fff,"{'9': 0.9537903942253398, '10': 0.0, '11': 0.0}"
165,360,8b30a4068840fff,"{'9': 0.9537903942253398, '10': 0.0, '11': 0.0}"
166,360,8b30a4068841fff,"{'9': 0.9537903942253398, '10': 0.0, '11': 0.0}"
167,360,8b30a4068844fff,"{'9': 0.9537903942253398, '10': 0.0, '11': 0.0}"
168,360,8b30a4068842fff,"{'9': 0.9537903942253398, '10': 0.0, '11': 0.0}"
169,360,8b30a4068846fff,"{'9': 0.9537903942253398, '10': 0.0, '11': 0.0}"
170,360,8b30a4068843fff,"{'9': 0.9537903942253398, '10': 0.0, '11': 0.0}"
171,360,8b30a4069532fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
172,360,8b30a4069530fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
173,360,8b30a4069533fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
174,360,8b30a4069531fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
175,360,8b30a4069534fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
176,360,8b30a4069536fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
177,360,8b30a4069535fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
178,360,8b30a406a12cfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
179,360,8b30a406a129fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
180,360,8b30a406a12dfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
181,360,8b30a406a12bfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
182,360,8b30a406a12afff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
183,360,8b30a406a128fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
184,360,8b30a406a12efff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
185,360,8b30a4a922a3fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
186,360,8b30a4a922a2fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
187,360,8b30a4a922a5fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
188,360,8b30a4a922a6fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
189,360,8b30a4a922a4fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
190,360,8b30a4a922a0fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
191,360,8b30a4a922a1fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
192,360,8b30a4a92c8bfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
193,360,8b30a4a92c8afff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
194,360,8b30a4a92c89fff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
195,360,8b30a4a92c8cfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
196,360,8b30a4a92c8dfff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
197,360,8b30a4a92c8efff,"{'9': 0.0, '10': 0.0, '11': 0.0}"
